Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,
6.145205000000017,1050,,,,0.0625,-0.01171875,-1.05859375,,,15.997377412090499,-0.16276826497298386,0,0,2.603865365483973,,0,,,0.095703125,,
6.152660000000004,1050,,,,0.0625,-0.029296875,-0.966796875,,,15.997226752966546,-0.16218700897377603,0,0,2.594542358938915,,0,,,0.095703125,,
6.160285000000004,1050,,,,-0.0625,-0.0078125,-1.0234375,,,15.997295915366259,-0.1619020485001558,0,0,2.589994979160972,,0,,,0.095703125,,
6.16764499999999,1050,,,,-0.0625,0.099609375,-0.998046875,,,15.997238851545971,-0.16337255795179537,0,0,2.6135098313429066,,0,,,0.09765625,,
6.174260000000009,1050,,,,0,-0.04296875,-1.00390625,,,15.99718746545271,-0.1630768391602623,0,0,2.6087707673201956,,0,,,0.09765625,,
6.1803950000000185,1050,,,,0.09375,-0.021484375,-1.03515625,,,15.996988219537698,-0.1633145848744754,0,0,2.6125414903156723,,0,,,0.09765625,,
6.187125,1050,,,,0,-0.0703125,-0.9453125,,,15.996873358346312,-0.16304299681607443,0,0,2.6081781720320034,,0,,,0.09765625,,
6.194549999999988,1050,,,,0.0625,0.01953125,-1.05078125,,,15.996636566068494,-0.16271268877652886,0,0,2.602855747045944,,0,,,0.09765625,,
6.203575000000011,1050,,,,-0.03125,0.0078125,-1.044921875,,,15.996708437495819,-0.1634011170080003,0,0,2.61388002713812,,0,,,0.09765625,,
6.210535000000004,1050,,,,0,0.09765625,-0.9453125,,0.7893140138728386,15.996736306221864,-0.1646311634498118,0,0,2.6335613094931505,,0,,,0.09765625,,
6.217795000000013,1050,,,,0,-0.01171875,-1,,,15.996491211925935,-0.16432644336326688,0,0,2.6286465071475433,,0,,,0.09765625,,
6.224515000000014,1050,,,,0.125,0.01171875,-0.95703125,,,15.996532169300115,-0.1639334867680426,0,0,2.622367294710528,,0,,,0.09765625,,
6.23125,1050,,,,0.0625,-0.083984375,-1.025390625,,,15.996681050777832,-0.16388312454284484,0,0,2.6215860729167897,,0,,,0.09765625,,
6.237679999999993,1050,,,,0,0.0390625,-0.95703125,,,15.996801820681865,-0.16455297464199226,0,0,2.6323213243516386,,0,,,0.09765625,,
6.244450000000012,1050,,,,-0.0625,-0.015625,-1.09765625,,,15.996766374154708,-0.16533744326178146,0,0,2.6448644527587777,,0,,,0.09765625,,
6.251545000000013,1050,,,,-0.03125,0.078125,-1.013671875,,,15.99673350752354,-0.1643889517335797,0,0,2.6296862524632245,,0,,,0.099609375,,
6.26436500000002,1050,,,,0.03125,-0.025390625,-0.982421875,,,15.996676367825536,-0.16400836205201175,0,0,2.623588689363191,,0,,,0.099609375,,
6.270729999999982,1050,,,,0.09375,-0.080078125,-1.044921875,,,15.996651194091145,-0.16420431033354055,0,0,2.6267190769719444,,0,,,0.099609375,,
6.278434999999997,1050,,,,0.0625,0.00390625,-1.02734375,,,15.996915630479107,-0.163489737709151,0,0,2.615331540582447,,0,,,0.099609375,,
