Timestamp,Amps,Batt. Volts,Motor Volts,RPM,Duty,Comm. Period,Bad Detects,ADC Window,Idle Time,State,Phase A Avg.,Phase B Avg.,Phase C Avg.,Composite Avg.,FET Step
2019-11-05 17:14:10:866,-0.00809827,15.7845,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:881,-0.0047359,15.7849,0,0,0,34,0,0,95.5938,0,0,0,0,0,5
2019-11-05 17:14:10:882,-0.0069226,15.785,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:898,-0.00598587,15.7852,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:901,-0.00270894,15.7857,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:10:916,-0.00192585,15.7857,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:932,0.00285782,15.7853,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:933,-0.00175179,15.7851,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:949,0.0021828,15.7849,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:966,0.01493,15.7844,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:967,0.0174959,15.784,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:977,0.0122969,15.7838,0,0,0,34,0,0,95.5859,0,0,0,0,0,5
2019-11-05 17:14:10:998,0.0102728,15.7836,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:999,0.00991212,15.7834,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:11:015,0.00524279,15.7835,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:11:016,-0.000876737,15.7834,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:11:031,-0.00282886,15.7838,0,0,0,34,0,0,95.6149,0,0,0,0,0,5
2019-11-05 17:14:11:032,-0.000189554,15.7841,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:11:043,0.00271784,15.7845,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:11:061,-0.000639302,15.785,0,0,0,34,0,0,95.6149,0,0,0,0,0,5
2019-11-05 17:14:11:062,0.000912408,15.7855,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:11:082,0.00535074,15.786,0,0,0,34,0,0,95.5938,0,0,0,0,0,5
2019-11-05 17:14:11:083,0.00563989,15.7864,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:11:098,-0.00213505,15.7867,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:11:116,-0.0030137,15.787,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:11:117,-0.00415414,15.787,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:11:127,-0.00214164,15.7873,0,0,0,34,0,0,95.6518,0,0,0,0,0,5
2019-11-05 17:14:11:144,-0.00514289,15.7876,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:11:144,-0.00252281,15.7874,0,0,0,34,0,0,95.2824,0,0,0,0,0,5
2019-11-05 17:14:11:160,0.00410046,15.787,0,0,0,34,0,0,95.2138,0,0,0,0,0,5
2019-11-05 17:14:11:161,0.00835623,15.7869,0,0,0,34,0,0,95.3404,0,0,0,0,0,5
2019-11-05 17:14:11:182,0.00513546,15.7866,0,0,0,34,0,0,95.3272,0,0,0,0,0,5
2019-11-05 17:14:11:182,-0.00111603,15.7869,0,0,0,34,0,0,95.3457,0,0,0,0,0,5
2019-11-05 17:14:11:198,0.00160655,15.7868,0,0,0,34,0,0,95.4143,0,0,0,0,0,5
2019-11-05 17:14:11:199,-0.00110608,15.7872,0,0,0,34,0,0,95.3457,0,0,0,0,0,5
2019-11-05 17:14:11:215,-0.00852495,15.7876,0,0,0,34,0,0,95.3484,0,0,0,0,0,5
2019-11-05 17:14:11:232,0.000745779,15.7882,0,0,0,34,0,0,95.4777,0,0,0,0,0,5
2019-11-05 17:14:11:232,-0.0119375,15.7885,0,0,0,34,0,0,95.4724,0,0,0,0,0,5
2019-11-05 17:14:11:248,-0.00662532,15.7892,0,0,0,34,0,0,95.5463,0,0,0,0,0,5
2019-11-05 17:14:11:265,-0.00837084,15.7892,0,0,0,34,0,0,95.4829,0,0,0,0,0,5
2019-11-05 17:14:11:266,-0.00862492,15.79,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:11:277,-0.0111035,15.7901,0,0,0,34,0,0,95.5964,0,0,0,0,0,5
2019-11-05 17:14:11:299,-0.010827,15.7909,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:11:300,-0.00922007,15.7912,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:11:310,-0.0135421,15.7916,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:11:311,-0.016744,15.792,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:11:331,-0.0110391,15.7921,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:11:332,-0.00687796,15.7922,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:11:348,-0.00489831,15.7926,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
